,a,abbr,b,footer,form,h1,h2,h3,head,i,input,label,li,nav,p,small,span,sub,tbody,title,tr,ul
711,,,,,,,,,,,,,,,,,,,,,,"1801 – John Marshall, whose court opinions helped lay the basis for U.S. constitutional law and made the Supreme Court a coequal branch of government, took office as chief justice.1859 – Constantin von Tischendorf rediscovered the Codex Sinaiticus (text sample pictured), a 4th-century great uncial codex of the Bible in Greek, in Saint Catherine's Monastery, Egypt.1945 – World War II: U.S. forces liberated the Santo Tomas Internment Camp in Manila, the largest Japanese internment camp in the Philippines.1974 – The Provisional Irish Republican Army bombed a motor coach carrying off-duty British Armed Forces personnel and their family members, killing twelve people.1998 – An earthquake registering 5.9 MW struck northern Afghanistan, triggering landslides that killed over 2,300 people and destroyed around 15,000 homes."
712,,,,,,,,,,,,,,,,,,,,,,Septimius Severus  (d. 211)Étienne Desmarteau  (b. 1873)Betty Friedan  (b. 1921)
713,,,,,,,,,,,,,,,,,,,,,,February 3February 4February 5
714,,,,,,,,,,,,,,,,,,,,,,ArchiveBy emailList of days of the year
715,,,,,,,,,,,,,,,,,,,,,,Robert Earl JonesSan LorenzoRobinson projection
716,,,,,,,,,,,,,,,,,,,,,,ArchiveMore featured pictures
717,,,,,,,,,,,,,,,,,,,,,,"Community portal – Bulletin board, projects, resources and activities covering a wide range of Wikipedia areas.Help desk – Ask questions about using Wikipedia.Local embassy – For Wikipedia-related communication in languages other than English.Reference desk – Serving as virtual librarians, Wikipedia volunteers tackle your questions on a wide range of subjects.Site news – Announcements, updates, articles and press releases on Wikipedia and the Wikimedia Foundation.Village pump – For discussions about Wikipedia itself, including areas for technical issues and policies."
718,,,,,,,,,,,,,,,,,,,,,,"1,000,000+ articlesالعربيةDeutschEspañolFrançaisItalianoNederlands日本語PolskiPortuguêsРусскийSvenskaУкраїнськаTiếng Việt中文250,000+ articlesBahasa IndonesiaBahasa MelayuBân-lâm-gúБългарскиCatalàČeštinaDanskEsperantoEuskaraفارسی‎עברית한국어MagyarNorsk BokmålRomânăSrpskiSrpskohrvatskiSuomiTürkçe50,000+ articlesAsturianuBosanskiEestiΕλληνικάSimple EnglishGalegoHrvatskiLatviešuLietuviųമലയാളംМакедонскиNorsk nynorskSlovenčinaSlovenščinaไทย"
719,,,,,,,,,,,,,,,,,,,,,,العربيةDeutschEspañolFrançaisItalianoNederlands日本語PolskiPortuguêsРусскийSvenskaУкраїнськаTiếng Việt中文
720,,,,,,,,,,,,,,,,,,,,,,Bahasa IndonesiaBahasa MelayuBân-lâm-gúБългарскиCatalàČeštinaDanskEsperantoEuskaraفارسی‎עברית한국어MagyarNorsk BokmålRomânăSrpskiSrpskohrvatskiSuomiTürkçe
721,,,,,,,,,,,,,,,,,,,,,,AsturianuBosanskiEestiΕλληνικάSimple EnglishGalegoHrvatskiLatviešuLietuviųമലയാളംМакедонскиNorsk nynorskSlovenčinaSlovenščinaไทย
722,,,,,,,,,,,,,,,,,,,,,,Not logged inTalkContributionsCreate accountLog in
723,,,,,,,,,,,,,,,,,,,,,,Main PageTalk
724,,,,,,,,,,,,,,,,,,,,,,ReadView sourceView history
725,,,,,,,,,,,,,,,,,,,,,,Main pageContentsCurrent eventsRandom articleAbout WikipediaContact usDonate
726,,,,,,,,,,,,,,,,,,,,,,HelpLearn to editCommunity portalRecent changesUpload file
727,,,,,,,,,,,,,,,,,,,,,,What links hereRelated changesUpload fileSpecial pagesPermanent linkPage informationCite this pageWikidata item
728,,,,,,,,,,,,,,,,,,,,,,Download as PDFPrintable version
729,,,,,,,,,,,,,,,,,,,,,,Wikimedia CommonsMediaWikiMeta-WikiWikispeciesWikibooksWikidataWikimaniaWikinewsWikiquoteWikisourceWikiversityWikivoyageWiktionary
730,,,,,,,,,,,,,,,,,,,,,,العربيةবাংলাБългарскиBosanskiCatalàČeštinaDanskDeutschEestiΕλληνικάEspañolEsperantoEuskaraفارسیFrançaisGalego한국어HrvatskiBahasa IndonesiaItalianoעבריתქართულიLatviešuLietuviųMagyarМакедонскиBahasa MelayuNederlands日本語Norsk bokmålNorsk nynorskPolskiPortuguêsRomânăРусскийSimple EnglishSlovenčinaSlovenščinaСрпски / srpskiSrpskohrvatski / српскохрватскиSuomiSvenskaไทยTürkçeУкраїнськаTiếng Việt中文
731,,,,,,,,,,,,,,,,,,,,,," This page was last edited on 3 February 2021, at 11:11 (UTC).Text is available under the Creative Commons Attribution-ShareAlike License;additional terms may apply.  By using this site, you agree to the Terms of Use and Privacy Policy. Wikipedia® is a registered trademark of the Wikimedia Foundation, Inc., a non-profit organization."
732,,,,,,,,,,,,,,,,,,,,,,Privacy policyAbout WikipediaDisclaimersContact WikipediaMobile viewDevelopersStatisticsCookie statement
733,,,,,,,,,,,,,,,,,,,,,,
